mode: count
cmd/compile/internal/amd64/galign.go:15.2,18.1 10 1
cmd/compile/internal/amd64/galign.go:19.2,21.1 10 1
cmd/compile/internal/amd64/galign.go:22.2,27.1 10 1
cmd/compile/internal/amd64/ggen.go:14.2,14.16 1 2
cmd/compile/internal/amd64/ggen.go:17.2,17.16 1 2
cmd/compile/internal/amd64/ggen.go:22.2,22.14 1 2
cmd/compile/internal/amd64/ggen.go:25.2,25.10 1 2
cmd/compile/internal/amd64/ssa.go:25.2,26.38 2 2
cmd/compile/internal/amd64/ssa.go:27.3,28.1 1 2
cmd/compile/internal/amd64/ssa.go:29.2,29.42 1 2
cmd/compile/internal/amd64/ssa.go:30.3,31.78 2 23
cmd/compile/internal/amd64/ssa.go:35.3,35.23 1 23
cmd/compile/internal/amd64/ssa.go:38.3,38.28 1 23
cmd/compile/internal/amd64/ssa.go:39.4,39.24 1 22
cmd/compile/internal/amd64/ssa.go:51.2,52.1 1 9
cmd/compile/internal/amd64/ssa.go:55.2,56.1 1 9
cmd/compile/internal/amd64/ssa.go:63.2,64.1 1 6
cmd/compile/internal/amd64/ssa.go:69.2,69.31 1 3
cmd/compile/internal/amd64/ssa.go:70.3,70.16 1 3
cmd/compile/internal/amd64/ssa.go:78.2,78.34 1 3
cmd/compile/internal/amd64/ssa.go:84.2,84.20 1 6
cmd/compile/internal/amd64/ssa.go:88.2,88.16 1 6
cmd/compile/internal/amd64/ssa.go:103.2,103.15 1 6
cmd/compile/internal/amd64/ssa.go:107.2,107.15 1 6
cmd/compile/internal/amd64/ssa.go:113.3,113.19 1 6
cmd/compile/internal/amd64/ssa.go:176.2,182.1 6 2
cmd/compile/internal/amd64/ssa.go:228.2,228.14 1 13
cmd/compile/internal/amd64/ssa.go:286.3,286.52 1 1
cmd/compile/internal/amd64/ssa.go:810.3,811.1 2 2
cmd/compile/internal/amd64/ssa.go:814.3,814.36 2 2
cmd/compile/internal/amd64/ssa.go:819.3,820.1 2 2
cmd/compile/internal/amd64/ssa.go:822.3,822.45 2 2
cmd/compile/internal/amd64/ssa.go:824.4,825.1 1 2
cmd/compile/internal/amd64/ssa.go:826.3,830.15 5 2
cmd/compile/internal/amd64/ssa.go:975.3,975.52 1 1
cmd/compile/internal/amd64/ssa.go:1252.3,1252.23 1 1
cmd/compile/internal/amd64/ssa.go:1256.3,1260.22 5 1
cmd/compile/internal/amd64/ssa.go:1263.3,1263.15 1 1
cmd/compile/internal/amd64/ssa.go:1266.3,1266.23 1 1
cmd/compile/internal/amd64/ssa.go:1270.3,1271.22 2 1
cmd/compile/internal/amd64/ssa.go:1274.3,1277.28 4 1
cmd/compile/internal/amd64/ssa.go:1287.3,1287.43 1 2
cmd/compile/internal/amd64/ssa.go:1289.4,1293.18 5 2
cmd/compile/internal/amd64/ssa.go:1296.4,1297.107 1 2
cmd/compile/internal/amd64/ssa.go:1299.3,1300.24 2 2
