1	-	src/cmd/compile/internal/amd64/galign.go:266-603:func	Init	src/cmd/compile/internal/amd64/galign.go:14
214	main	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
215	main	src/cmd/compile/internal/abi/abiutils.go:1283-1366:method	InParams	src/cmd/compile/internal/abi/abiutils.go:43
216	main	src/cmd/compile/internal/abi/abiutils.go:1455-1535:method	InRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:51
217	main	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
218	main	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
219	main	src/cmd/compile/internal/ssagen/ssa.go:61602-80770:method	stmt	src/cmd/compile/internal/ssagen/ssa.go:1663
220	main	src/cmd/compile/internal/abi/abiutils.go:13858-14278:method	ABIAnalyze	src/cmd/compile/internal/abi/abiutils.go:397
221	main	src/cmd/compile/internal/abi/abiutils.go:12127-13356:method	ABIAnalyzeFuncType	src/cmd/compile/internal/abi/abiutils.go:353
222	main	src/cmd/compile/internal/abi/abiutils.go:19681-20459:func	setup	src/cmd/compile/internal/abi/abiutils.go:573
223	main	src/cmd/compile/internal/abi/abiutils.go:12455-12460:local_var	ABIAnalyzeFuncType.params_loop	src/cmd/compile/internal/abi/abiutils.go:362
224	main	src/cmd/compile/internal/abi/abiutils.go:20680-21192:method	assignParam	src/cmd/compile/internal/abi/abiutils.go:603
225	main	src/cmd/compile/internal/abi/abiutils.go:21321-21801:method	tryAllocRegs	src/cmd/compile/internal/abi/abiutils.go:623
226	main	src/cmd/compile/internal/abi/abiutils.go:17900-19209:method	allocateRegs	src/cmd/compile/internal/abi/abiutils.go:514
227	main	src/cmd/compile/internal/abi/abiutils.go:17546-17681:func	nextSlot	src/cmd/compile/internal/abi/abiutils.go:505
228	main	src/cmd/compile/internal/abi/abiutils.go:17224-17314:func	align	src/cmd/compile/internal/abi/abiutils.go:492
229	main	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
230	main	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
231	main	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
232	main	src/cmd/compile/internal/abi/abiutils.go:14280-15210:method	updateOffset	src/cmd/compile/internal/abi/abiutils.go:410
233	main	src/cmd/compile/internal/abi/abiutils.go:7924-8299:method	FrameOffset	src/cmd/compile/internal/abi/abiutils.go:249
234	main	src/cmd/compile/internal/abi/abiutils.go:1807-1891:method	SpillAreaOffset	src/cmd/compile/internal/abi/abiutils.go:67
235	main	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
236	main	src/cmd/compile/internal/abi/abiutils.go:2251-2372:method	ArgWidth	src/cmd/compile/internal/abi/abiutils.go:79
237	main	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
238	main	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
239	main	src/cmd/compile/internal/abi/abiutils.go:1283-1366:method	InParams	src/cmd/compile/internal/abi/abiutils.go:43
240	main	src/cmd/compile/internal/ssagen/ssa.go:196580-196781:method	putArg	src/cmd/compile/internal/ssagen/ssa.go:5761
241	main	src/cmd/compile/internal/ssagen/ssa.go:105960-128635:method	exprCheckPtr	src/cmd/compile/internal/ssagen/ssa.go:3028
242	main	src/cmd/compile/internal/ssagen/ssa.go:105960-128635:method	exprCheckPtr	src/cmd/compile/internal/ssagen/ssa.go:3028
243	main	src/cmd/compile/internal/ssagen/ssa.go:183949-184368:method	canSSA	src/cmd/compile/internal/ssagen/ssa.go:5371
244	main	src/cmd/compile/internal/abi/abiutils.go:1455-1535:method	InRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:51
245	main	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
246	main	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
247	main	src/cmd/compile/internal/ssagen/ssa.go:61602-80770:method	stmt	src/cmd/compile/internal/ssagen/ssa.go:1663
248	main	src/cmd/compile/internal/abi/abiutils.go:13858-14278:method	ABIAnalyze	src/cmd/compile/internal/abi/abiutils.go:397
249	main	src/cmd/compile/internal/abi/abiutils.go:12127-13356:method	ABIAnalyzeFuncType	src/cmd/compile/internal/abi/abiutils.go:353
250	main	src/cmd/compile/internal/abi/abiutils.go:19681-20459:func	setup	src/cmd/compile/internal/abi/abiutils.go:573
251	main	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
252	main	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
253	main	src/cmd/compile/internal/abi/abiutils.go:2251-2372:method	ArgWidth	src/cmd/compile/internal/abi/abiutils.go:79
254	main	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
255	main	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
256	main	src/cmd/compile/internal/abi/abiutils.go:1283-1366:method	InParams	src/cmd/compile/internal/abi/abiutils.go:43
257	main	src/cmd/compile/internal/abi/abiutils.go:1455-1535:method	InRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:51
258	main	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
259	main	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
260	main	src/cmd/compile/internal/ssagen/ssa.go:61602-80770:method	stmt	src/cmd/compile/internal/ssagen/ssa.go:1663
261	main	src/cmd/compile/internal/abi/abiutils.go:13858-14278:method	ABIAnalyze	src/cmd/compile/internal/abi/abiutils.go:397
262	main	src/cmd/compile/internal/abi/abiutils.go:12127-13356:method	ABIAnalyzeFuncType	src/cmd/compile/internal/abi/abiutils.go:353
263	main	src/cmd/compile/internal/abi/abiutils.go:19681-20459:func	setup	src/cmd/compile/internal/abi/abiutils.go:573
264	main	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
265	main	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
266	main	src/cmd/compile/internal/abi/abiutils.go:2251-2372:method	ArgWidth	src/cmd/compile/internal/abi/abiutils.go:79
267	main	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
268	main	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
269	main	src/cmd/compile/internal/abi/abiutils.go:1283-1366:method	InParams	src/cmd/compile/internal/abi/abiutils.go:43
270	main	src/cmd/compile/internal/abi/abiutils.go:1455-1535:method	InRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:51
271	main	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
272	main	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
273	main	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
274	main	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
275	main	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
276	main	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
277	main	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
278	main	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
279	main	src/cmd/compile/internal/abi/abiutils.go:1713-1805:method	OutParam	src/cmd/compile/internal/abi/abiutils.go:63
280	main	src/cmd/compile/internal/abi/abiutils.go:1212-1281:method	Config	src/cmd/compile/internal/abi/abiutils.go:39
281	main	src/cmd/compile/internal/abi/abiutils.go:1621-1711:method	InParam	src/cmd/compile/internal/abi/abiutils.go:59
282	main	src/cmd/compile/internal/abi/abiutils.go:1621-1711:method	InParam	src/cmd/compile/internal/abi/abiutils.go:59
283	main	src/cmd/compile/internal/abi/abiutils.go:1212-1281:method	Config	src/cmd/compile/internal/abi/abiutils.go:39
284	main	src/cmd/compile/internal/abi/abiutils.go:1621-1711:method	InParam	src/cmd/compile/internal/abi/abiutils.go:59
285	main	src/cmd/compile/internal/abi/abiutils.go:1621-1711:method	InParam	src/cmd/compile/internal/abi/abiutils.go:59
286	main	src/cmd/compile/internal/abi/abiutils.go:1212-1281:method	Config	src/cmd/compile/internal/abi/abiutils.go:39
287	main	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
288	main	src/cmd/compile/internal/abi/abiutils.go:3926-4369:func	RegisterTypes	src/cmd/compile/internal/abi/abiutils.go:118
289	main	src/cmd/compile/internal/abi/abiutils.go:4705-5956:func	appendParamTypes	src/cmd/compile/internal/abi/abiutils.go:148
290	main	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
291	main	src/cmd/compile/internal/abi/abiutils.go:3926-4369:func	RegisterTypes	src/cmd/compile/internal/abi/abiutils.go:118
292	main	src/cmd/compile/internal/abi/abiutils.go:1621-1711:method	InParam	src/cmd/compile/internal/abi/abiutils.go:59
293	main	src/cmd/compile/internal/abi/abiutils.go:1621-1711:method	InParam	src/cmd/compile/internal/abi/abiutils.go:59
294	main	src/cmd/compile/internal/abi/abiutils.go:1212-1281:method	Config	src/cmd/compile/internal/abi/abiutils.go:39
295	main	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
296	main	src/cmd/compile/internal/abi/abiutils.go:3926-4369:func	RegisterTypes	src/cmd/compile/internal/abi/abiutils.go:118
297	main	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
298	main	src/cmd/compile/internal/abi/abiutils.go:3926-4369:func	RegisterTypes	src/cmd/compile/internal/abi/abiutils.go:118
299	main	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
300	main	src/cmd/compile/internal/abi/abiutils.go:3926-4369:func	RegisterTypes	src/cmd/compile/internal/abi/abiutils.go:118
301	main	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
302	main	src/cmd/compile/internal/abi/abiutils.go:3926-4369:func	RegisterTypes	src/cmd/compile/internal/abi/abiutils.go:118
303	main	src/cmd/compile/internal/abi/abiutils.go:1455-1535:method	InRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:51
304	main	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
305	main	src/cmd/compile/internal/abi/abiutils.go:1283-1366:method	InParams	src/cmd/compile/internal/abi/abiutils.go:43
306	main	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
307	main	src/cmd/compile/internal/abi/abiutils.go:1455-1535:method	InRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:51
308	main	src/cmd/compile/internal/abi/abiutils.go:1537-1619:method	OutRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:55
309	main	src/cmd/compile/internal/abi/abiutils.go:1283-1366:method	InParams	src/cmd/compile/internal/abi/abiutils.go:43
310	main	src/cmd/compile/internal/abi/abiutils.go:1368-1453:method	OutParams	src/cmd/compile/internal/abi/abiutils.go:47
311	main	src/cmd/compile/internal/abi/abiutils.go:1283-1366:method	InParams	src/cmd/compile/internal/abi/abiutils.go:43
312	-	src/cmd/compile/internal/abi/abiutils.go:2251-2372:method	ArgWidth	src/cmd/compile/internal/abi/abiutils.go:79
313	-	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
314	main	-	subject_enter:genssa	-
315	main	src/cmd/compile/internal/abi/abiutils.go:1455-1535:method	InRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:51
316	main	src/cmd/compile/internal/amd64/ssa.go:545-1041:func	ssaMarkMoves	src/cmd/compile/internal/amd64/ssa.go:24
317	main	src/cmd/compile/internal/amd64/ssa.go:5467-60141:func	ssaGenValue	src/cmd/compile/internal/amd64/ssa.go:227
318	main	src/cmd/compile/internal/amd64/ssa.go:5467-60141:func	ssaGenValue	src/cmd/compile/internal/amd64/ssa.go:227
319	main	src/cmd/compile/internal/amd64/ssa.go:5467-60141:func	ssaGenValue	src/cmd/compile/internal/amd64/ssa.go:227
320	main	src/cmd/compile/internal/amd64/ssa.go:5467-60141:func	ssaGenValue	src/cmd/compile/internal/amd64/ssa.go:227
321	main	src/cmd/compile/internal/amd64/ssa.go:5467-60141:func	ssaGenValue	src/cmd/compile/internal/amd64/ssa.go:227
322	main	src/cmd/compile/internal/amd64/ssa.go:5467-60141:func	ssaGenValue	src/cmd/compile/internal/amd64/ssa.go:227
323	main	src/cmd/compile/internal/amd64/ssa.go:5467-60141:func	ssaGenValue	src/cmd/compile/internal/amd64/ssa.go:227
324	main	src/cmd/compile/internal/amd64/ssa.go:5467-60141:func	ssaGenValue	src/cmd/compile/internal/amd64/ssa.go:227
325	main	src/cmd/compile/internal/amd64/ssa.go:5467-60141:func	ssaGenValue	src/cmd/compile/internal/amd64/ssa.go:227
326	main	src/cmd/compile/internal/amd64/ssa.go:5467-60141:func	ssaGenValue	src/cmd/compile/internal/amd64/ssa.go:227
327	main	src/cmd/compile/internal/amd64/ssa.go:76094-77590:func	ssaGenBlock	src/cmd/compile/internal/amd64/ssa.go:2454
328	main	-	subject_enter:PopulateABIInRegArgOps	-
329	main	src/cmd/compile/internal/abi/abiutils.go:12127-13356:method	ABIAnalyzeFuncType	src/cmd/compile/internal/abi/abiutils.go:353
330	main	src/cmd/compile/internal/abi/abiutils.go:19681-20459:func	setup	src/cmd/compile/internal/abi/abiutils.go:573
331	main	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
332	main	src/cmd/compile/internal/abi/abiutils.go:17389-17489:func	alignTo	src/cmd/compile/internal/abi/abiutils.go:497
333	main	src/cmd/compile/internal/abi/abiutils.go:1283-1366:method	InParams	src/cmd/compile/internal/abi/abiutils.go:43
334	main	src/cmd/compile/internal/ssagen/ssa.go:253200-256624:func	defframe	src/cmd/compile/internal/ssagen/ssa.go:7533
335	main	src/cmd/compile/internal/abi/abiutils.go:2251-2372:method	ArgWidth	src/cmd/compile/internal/abi/abiutils.go:79
336	main	src/cmd/compile/internal/abi/abiutils.go:9477-9557:method	LocalsOffset	src/cmd/compile/internal/abi/abiutils.go:289
337	main	src/cmd/compile/internal/abi/abiutils.go:1455-1535:method	InRegistersUsed	src/cmd/compile/internal/abi/abiutils.go:51
