  proof lib LeanIM; executable lib LeanIMPrExecutable; decoder state: s0
  no-effect clauses (the body is the retire): 5
  emitted definitions scanned: 4750; lean-sail definitions indexed: 149
  decode: 108 words, lean rc=0, 36.3s
  register expressions evaluated: 3 of 3 (3.1s)
  certifying with 4 Lean job(s) at a time
  arch_au_331_c_land_i64_i32               CERTIFIED   19.1s  (pure_RTYPE ((pure_RTYPE (zero_reg) (a) (LeanIM.rop.SLTU))) ((pure_RTYPE (zero_reg) (b) (L
  arch_au_334_c_land_i64_bool              CERTIFIED   18.4s  (pure_RTYPE ((pure_RTYPE (zero_reg) (a) (LeanIM.rop.SLTU))) (b) (AND))
  arch_au_340_c_land_bool_i64              CERTIFIED   18.8s  (pure_RTYPE (a) ((pure_RTYPE (zero_reg) (b) (LeanIM.rop.SLTU))) (AND))
  arch_au_344_c_bor_i32_i64                CERTIFIED   16.5s  (pure_RTYPE (a) (b) (OR))
  arch_au_347_c_bor_i64_i32                CERTIFIED   16.8s  (pure_RTYPE (a) (b) (OR))
  arch_au_350_c_bor_i64_bool               CERTIFIED   16.4s  (pure_RTYPE (a) (b) (OR))
  arch_au_356_c_bor_bool_i64               CERTIFIED   16.5s  (pure_RTYPE (a) (b) (OR))
  arch_au_360_c_bxor_i32_i64               CERTIFIED   16.3s  (pure_RTYPE (a) (b) (XOR))
  arch_au_363_c_bxor_i64_i32               CERTIFIED   16.9s  (pure_RTYPE (a) (b) (XOR))
  arch_au_366_c_bxor_i64_bool              CERTIFIED   16.6s  (pure_RTYPE (a) (b) (XOR))
  arch_au_372_c_bxor_bool_i64              CERTIFIED   16.7s  (pure_RTYPE (a) (b) (XOR))
  arch_au_376_c_band_i32_i64               CERTIFIED   16.7s  (pure_RTYPE (a) (b) (AND))
  arch_au_379_c_band_i64_i32               CERTIFIED   16.7s  (pure_RTYPE (a) (b) (AND))
  arch_au_382_c_band_i64_bool              CERTIFIED   16.5s  (pure_RTYPE (a) (b) (AND))
  arch_au_388_c_band_bool_i64              CERTIFIED   16.3s  (pure_RTYPE (a) (b) (AND))
  arch_au_196_c_predec_bool                CERTIFIED   17.1s  (pure_ITYPE (a) (0x001#12) (LeanIM.iop.XORI))
