  proof lib LeanIM; executable lib LeanIMPrExecutable; decoder state: s0
  no-effect clauses (the body is the retire): 5
  emitted definitions scanned: 4750; lean-sail definitions indexed: 149
  decode: 322 words, lean rc=0, 100.0s
  register expressions evaluated: 7 of 8 (4.2s)
  certifying with 4 Lean job(s) at a time
  emul_au_179_c_neg_i64                    CERTIFIED   16.4s  (pure_RTYPE (zero_reg) (a) (LeanIM.rop.SUB))
  emul_au_197_c_sizeof_i32                 CERTIFIED   16.5s  (pure_ITYPE (zero_reg) (((sign_extend (m := 12) (0x04#6)))) (ADDI))
  emul_au_200_c_sizeof_f32                 CERTIFIED   16.9s  (pure_ITYPE (zero_reg) (((sign_extend (m := 12) (0x04#6)))) (ADDI))
  emul_au_408_c_ne_i32_i64                 CERTIFIED   17.2s  (pure_RTYPE (zero_reg) ((pure_RTYPE ((pure_ADDIW (a) ((sign_extend (m := 12) (0x00#6))))) 
  emul_au_190_c_preinc_i64                 CERTIFIED   16.6s  (pure_ITYPE (a) (((sign_extend (m := 12) (0x01#6)))) (ADDI))
  emul_au_194_c_predec_i64                 CERTIFIED   16.4s  (pure_ITYPE (a) (((sign_extend (m := 12) (0x3f#6)))) (ADDI))
  emul_au_240_c_add_i32_i64                CERTIFIED   16.9s  (pure_RTYPE ((pure_ADDIW (a) ((sign_extend (m := 12) (0x00#6))))) (b) (ADD))
  emul_au_243_c_add_i64_i32                CERTIFIED   17.1s  (pure_RTYPE (a) ((pure_ADDIW (b) ((sign_extend (m := 12) (0x00#6))))) (ADD))
  emul_au_246_c_add_i64_bool               CERTIFIED   16.9s  (pure_RTYPE (a) ((pure_ITYPE (b) ((sign_extend (m := 12) (0x01#6))) (ANDI))) (ADD))
  emul_au_252_c_add_bool_i64               CERTIFIED   16.5s  (pure_RTYPE ((pure_ITYPE (a) ((sign_extend (m := 12) (0x01#6))) (ANDI))) (b) (ADD))
  emul_au_256_c_sub_i32_i64                CERTIFIED   16.6s  (pure_RTYPE ((pure_ADDIW (a) ((sign_extend (m := 12) (0x00#6))))) (b) (SUB))
  emul_au_259_c_sub_i64_i32                CERTIFIED   16.8s  (pure_RTYPE (a) ((pure_ADDIW (b) ((sign_extend (m := 12) (0x00#6))))) (SUB))
  emul_au_262_c_sub_i64_bool               CERTIFIED   16.6s  (pure_RTYPE (a) ((pure_ITYPE (b) ((sign_extend (m := 12) (0x01#6))) (ANDI))) (SUB))
  emul_au_268_c_sub_bool_i64               CERTIFIED   17.0s  (pure_RTYPE ((pure_ITYPE (a) ((sign_extend (m := 12) (0x01#6))) (ANDI))) (b) (SUB))
  emul_au_286_c_div_i64_bool               CERTIFIED   16.2s  a
  emul_au_302_c_rem_i64_bool               CERTIFIED   16.3s  (pure_ITYPE (zero_reg) (((sign_extend (m := 12) (0x00#6)))) (ADDI))
  emul_au_343_c_bor_i32_i32                CERTIFIED   17.1s  (pure_ZBA_RTYPEUW ((pure_RTYPE (a) (b) (OR))) (zero_reg) (0b00#2))
  emul_au_359_c_bxor_i32_i32               CERTIFIED   16.6s  (pure_ZBA_RTYPEUW ((pure_RTYPE (a) (b) (XOR))) (zero_reg) (0b00#2))
  emul_au_375_c_band_i32_i32               CERTIFIED   16.5s  (pure_ZBA_RTYPEUW ((pure_RTYPE (a) (b) (AND))) (zero_reg) (0b00#2))
  emul_au_392_c_eq_i32_i64                 CERTIFIED   16.9s  (pure_ITYPE ((pure_RTYPE ((pure_ADDIW (a) ((sign_extend (m := 12) (0x00#6))))) (b) (XOR)))
  emul_au_395_c_eq_i64_i32                 CERTIFIED   16.6s  (pure_ITYPE ((pure_RTYPE (a) ((pure_ADDIW (b) ((sign_extend (m := 12) (0x00#6))))) (XOR)))
  emul_au_398_c_eq_i64_bool                CERTIFIED   16.6s  (pure_ITYPE ((pure_RTYPE (a) ((pure_ITYPE (b) ((sign_extend (m := 12) (0x01#6))) (ANDI))) 
  emul_au_404_c_eq_bool_i64                CERTIFIED   16.8s  (pure_ITYPE ((pure_RTYPE ((pure_ITYPE (a) ((sign_extend (m := 12) (0x01#6))) (ANDI))) (b) 
  emul_au_407_c_ne_i32_i32                 CERTIFIED   16.5s  (pure_RTYPE (zero_reg) ((pure_ADDIW ((pure_RTYPE (a) (b) (XOR))) ((sign_extend (m := 12) (
  emul_au_174_c_not_i32                    CERTIFIED   16.7s  (pure_ITYPE ((pure_ADDIW (a) ((sign_extend (m := 12) (0x00#6))))) (0x001#12) (LeanIM.iop.S
  emul_au_178_c_neg_i32                    CERTIFIED   16.5s  (pure_ZBA_RTYPEUW ((pure_RTYPEW (zero_reg) (a) (LeanIM.ropw.SUBW))) (zero_reg) (0b00#2))
  emul_au_239_c_add_i32_i32                CERTIFIED   16.7s  (pure_ZBA_RTYPEUW ((pure_RTYPE (a) (b) (ADD))) (zero_reg) (0b00#2))
  emul_au_255_c_sub_i32_i32                CERTIFIED   16.4s  (pure_ZBA_RTYPEUW ((pure_RTYPEW (a) (b) (SUBW))) (zero_reg) (0b00#2))
  emul_au_271_c_mul_i32_i32                CERTIFIED   16.6s  (pure_ZBA_RTYPEUW ((pure_MUL (a) (b) ({ result_part := Low, signed_rs1 := Signed, signed_r
  emul_au_294_c_div_bool_bool              CERTIFIED   16.4s  (pure_ITYPE (a) ((sign_extend (m := 12) (0x01#6))) (ANDI))
  emul_au_311_c_lor_i32_i32                CERTIFIED   16.6s  (pure_RTYPE (zero_reg) ((pure_ADDIW ((pure_RTYPE (a) (b) (OR))) ((sign_extend (m := 12) (0
  emul_au_314_c_lor_i32_bool               CERTIFIED   17.0s  (pure_RTYPE ((pure_RTYPE (zero_reg) ((pure_ADDIW (a) ((sign_extend (m := 12) (0x00#6))))) 
  emul_au_323_c_lor_bool_i32               CERTIFIED   17.2s  (pure_RTYPE ((pure_ITYPE (a) ((sign_extend (m := 12) (0x01#6))) (ANDI))) ((pure_RTYPE (zer
  emul_au_327_c_land_i32_i32               CERTIFIED   17.0s  (pure_RTYPE ((pure_RTYPE (zero_reg) ((pure_ADDIW (a) ((sign_extend (m := 12) (0x00#6))))) 
  emul_au_346_c_bor_i32_bool               CERTIFIED   16.9s  (pure_RTYPE ((pure_ZBA_RTYPEUW (a) (zero_reg) (0b00#2))) ((pure_ITYPE (b) ((sign_extend (m
  emul_au_355_c_bor_bool_i32               CERTIFIED   16.6s  (pure_RTYPE ((pure_ITYPE (a) ((sign_extend (m := 12) (0x01#6))) (ANDI))) ((pure_ZBA_RTYPEU
  emul_au_362_c_bxor_i32_bool              CERTIFIED   16.7s  (pure_RTYPE ((pure_ZBA_RTYPEUW (a) (zero_reg) (0b00#2))) ((pure_ITYPE (b) ((sign_extend (m
  emul_au_371_c_bxor_bool_i32              CERTIFIED   16.7s  (pure_RTYPE ((pure_ITYPE (a) ((sign_extend (m := 12) (0x01#6))) (ANDI))) ((pure_ZBA_RTYPEU
  emul_au_378_c_band_i32_bool              CERTIFIED   16.5s  (pure_ITYPE ((pure_RTYPE (a) (b) (AND))) ((sign_extend (m := 12) (0x01#6))) (ANDI))
  emul_au_387_c_band_bool_i32              CERTIFIED   16.9s  (pure_ITYPE ((pure_RTYPE (a) (b) (AND))) ((sign_extend (m := 12) (0x01#6))) (ANDI))
  emul_au_391_c_eq_i32_i32                 CERTIFIED   16.7s  (pure_ITYPE ((pure_ADDIW ((pure_RTYPE (a) (b) (XOR))) ((sign_extend (m := 12) (0x00#6)))))
  emul_au_406_c_eq_bool_bool               CERTIFIED   17.8s  (pure_ZBB_RTYPE ((pure_ITYPE (zero_reg) (((sign_extend (m := 12) (0x01#6)))) (ADDI))) ((pu
