clauses 339; emitted definitions 4750; lean-sail definitions indexed 149
classes reaching equals: 135 of 186
  au_462_go_sub_i64_i64        PROVED    same_text        1.3s  covers 2 units
  au_465_go_bor_i64_i64        PROVED    same_text        1.3s  covers 2 units
  au_468_go_bxor_i64_i64       PROVED    same_text        1.4s  covers 2 units
  au_409_go_pos_i32            PROVED    fixed_width      6.0s  covers 1 units
  au_412_go_pos_f32            PROVED    fixed_width      5.3s  covers 1 units
  au_414_go_neg_i32            PROVED    fixed_width      6.9s  covers 1 units
  au_418_go_cmpl_i32           PROVED    fixed_width      8.2s  covers 1 units
  au_445_go_shr_i32_u64        UNDECIDED none             9.6s  covers 1 units
  au_452_go_band_i32_i32       PROVED    fixed_width      7.9s  covers 1 units
  au_455_go_andnot_i32_i32     PROVED    fixed_width      8.7s  covers 1 units
  au_458_go_add_i32_i32        PROVED    fixed_width      7.3s  covers 1 units
  au_461_go_sub_i32_i32        PROVED    fixed_width      7.7s  covers 1 units
  au_464_go_bor_i32_i32        PROVED    fixed_width      8.1s  covers 1 units
  au_467_go_bxor_i32_i32       PROVED    fixed_width      7.6s  covers 1 units
  au_474_go_ne_i32_i32         UNDECIDED none            18.8s  covers 1 units
  au_479_go_lt_i64_i64         PROVED    same_text        1.4s  covers 1 units
  au_480_go_lt_u64_u64         PROVED    same_text        1.3s  covers 1 units
  au_485_go_gt_i64_i64         PROVED    same_text        1.3s  covers 1 units
  au_486_go_gt_u64_u64         PROVED    same_text        1.3s  covers 1 units
  au_490_go_land_bool_bool     PROVED    fixed_width      6.2s  covers 1 units
  au_491_go_lor_bool_bool      PROVED    fixed_width      6.7s  covers 1 units

VERDICTS over 186 classes:
  PROVED          100 classes  covering  462 arch-units
  NOT REACHED      51 classes  covering  104 arch-units
  UNDECIDED        35 classes  covering   86 arch-units
  proved at stage: {'same_text': 33, 'fixed_width': 65, 'integer_level': 2}
