canon39_regen_store/op_units2_c_c0063.json: 77 re-gated, 0 canon39-refused skipped (131s)
canon39_regen_store/op_units2_c_c0064.json: 127 re-gated, 0 canon39-refused skipped (132s)
canon39_regen_store/op_units2_c_c0065.json: 62 re-gated, 0 canon39-refused skipped (132s)
canon39_regen_store/op_units2_c_c0066.json: 19 re-gated, 0 canon39-refused skipped (132s)
canon39_regen_store/op_units2_c_c0067.json: 39 re-gated, 0 canon39-refused skipped (132s)
canon39_regen_store/op_units2_c_c0068.json: 75 re-gated, 0 canon39-refused skipped (132s)
canon39_regen_store/op_units2_c_c0069.json: 116 re-gated, 0 canon39-refused skipped (132s)
canon39_regen_store/op_units2_c_c0070.json: 91 re-gated, 0 canon39-refused skipped (132s)
canon39_regen_store/op_units2_c_c0071.json: 71 re-gated, 0 canon39-refused skipped (133s)
canon39_regen_store/op_units2_c_c0072.json: 0 re-gated, 0 canon39-refused skipped (133s)
canon39_regen_store/op_units2_c_c0073.json: 50 re-gated, 0 canon39-refused skipped (134s)
canon39_regen_store/op_units2_c_c0074.json: 100 re-gated, 0 canon39-refused skipped (135s)
canon39_regen_store/op_units2_c_c0075.json: 100 re-gated, 0 canon39-refused skipped (136s)
canon39_regen_store/op_units2_c_c0076.json: 80 re-gated, 0 canon39-refused skipped (136s)
canon39_regen_store/op_units2_c_c0077.json: 130 re-gated, 0 canon39-refused skipped (137s)
canon39_regen_store/op_units2_c_c0078.json: 115 re-gated, 0 canon39-refused skipped (139s)
canon39_regen_store/op_units2_c_c0079.json: 50 re-gated, 0 canon39-refused skipped (140s)
canon39_regen_store/op_units2_c_c0080.json: 0 re-gated, 0 canon39-refused skipped (140s)
canon39_regen_store/op_units2_c_c0081.json: 50 re-gated, 0 canon39-refused skipped (141s)
canon39_regen_store/op_units2_c_c0082.json: 100 re-gated, 0 canon39-refused skipped (142s)
canon39_regen_store/op_units2_c_c0083.json: 100 re-gated, 0 canon39-refused skipped (143s)
canon39_regen_store/op_units2_c_c0084.json: 110 re-gated, 0 canon39-refused skipped (143s)
canon39_regen_store/op_units2_c_c0085.json: 130 re-gated, 0 canon39-refused skipped (144s)
canon39_regen_store/op_units2_c_c0086.json: 85 re-gated, 0 canon39-refused skipped (145s)
canon39_regen_store/op_units2_c_c0087.json: 50 re-gated, 0 canon39-refused skipped (146s)
canon39_regen_store/op_units2_c_c0088.json: 0 re-gated, 0 canon39-refused skipped (146s)
canon39_regen_store/op_units2_c_c0089.json: 52 re-gated, 0 canon39-refused skipped (148s)
canon39_regen_store/op_units2_c_c0090.json: 103 re-gated, 0 canon39-refused skipped (148s)
canon39_regen_store/op_units2_c_c0091.json: 105 re-gated, 0 canon39-refused skipped (149s)
canon39_regen_store/op_units2_c_c0092.json: 130 re-gated, 0 canon39-refused skipped (150s)
canon39_regen_store/op_units2_c_c0093.json: 130 re-gated, 0 canon39-refused skipped (151s)
canon39_regen_store/op_units2_c_c0094.json: 55 re-gated, 0 canon39-refused skipped (151s)
canon39_regen_store/op_units2_c_c0095.json: 50 re-gated, 0 canon39-refused skipped (153s)
