canon39_regen_store/op_units2_c_c0066.json: 19 with proved terms, 19 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0067.json: 39 with proved terms, 27 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0068.json: 75 with proved terms, 53 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0069.json: 116 with proved terms, 73 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0070.json: 91 with proved terms, 72 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0071.json: 43 with proved terms, 23 rendered, 28 skipped
canon39_regen_store/op_units2_c_c0072.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0073.json: 4 with proved terms, 0 rendered, 46 skipped
canon39_regen_store/op_units2_c_c0074.json: 82 with proved terms, 2 rendered, 18 skipped
canon39_regen_store/op_units2_c_c0075.json: 86 with proved terms, 0 rendered, 14 skipped
canon39_regen_store/op_units2_c_c0076.json: 65 with proved terms, 0 rendered, 15 skipped
canon39_regen_store/op_units2_c_c0077.json: 115 with proved terms, 0 rendered, 15 skipped
canon39_regen_store/op_units2_c_c0078.json: 101 with proved terms, 0 rendered, 14 skipped
canon39_regen_store/op_units2_c_c0079.json: 22 with proved terms, 2 rendered, 28 skipped
canon39_regen_store/op_units2_c_c0080.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0081.json: 4 with proved terms, 0 rendered, 46 skipped
canon39_regen_store/op_units2_c_c0082.json: 82 with proved terms, 2 rendered, 18 skipped
canon39_regen_store/op_units2_c_c0083.json: 86 with proved terms, 0 rendered, 14 skipped
canon39_regen_store/op_units2_c_c0084.json: 92 with proved terms, 0 rendered, 18 skipped
canon39_regen_store/op_units2_c_c0085.json: 115 with proved terms, 0 rendered, 15 skipped
canon39_regen_store/op_units2_c_c0086.json: 74 with proved terms, 0 rendered, 11 skipped
canon39_regen_store/op_units2_c_c0087.json: 22 with proved terms, 0 rendered, 28 skipped
canon39_regen_store/op_units2_c_c0088.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0089.json: 5 with proved terms, 0 rendered, 47 skipped
canon39_regen_store/op_units2_c_c0090.json: 83 with proved terms, 0 rendered, 20 skipped
canon39_regen_store/op_units2_c_c0091.json: 90 with proved terms, 0 rendered, 15 skipped
canon39_regen_store/op_units2_c_c0092.json: 113 with proved terms, 0 rendered, 17 skipped
canon39_regen_store/op_units2_c_c0093.json: 114 with proved terms, 3 rendered, 16 skipped
canon39_regen_store/op_units2_c_c0094.json: 48 with proved terms, 2 rendered, 7 skipped
canon39_regen_store/op_units2_c_c0095.json: 22 with proved terms, 0 rendered, 28 skipped
canon39_regen_store/op_units2_c_c0096.json: 0 with proved terms, 0 rendered, 0 skipped
canon39_regen_store/op_units2_c_c0097.json: 25 with proved terms, 1 rendered, 55 skipped
canon39_regen_store/op_units2_c_c0098.json: 88 with proved terms, 6 rendered, 17 skipped
canon39_regen_store/op_units2_c_c0099.json: 90 with proved terms, 0 rendered, 15 skipped
canon39_regen_store/op_units2_c_c0100.json: 115 with proved terms, 0 rendered, 15 skipped
canon39_regen_store/op_units2_c_c0101.json: 92 with proved terms, 0 rendered, 13 skipped
canon39_regen_store/op_units2_c_c0102.json: 44 with proved terms, 0 rendered, 8 skipped
canon39_regen_store/op_units2_c_c0103.json: 21 with proved terms, 1 rendered, 27 skipped
canon39_regen_store/op_units2_c_c0104.json: 0 with proved terms, 0 rendered, 0 skipped
