probe_id,level,form_pair,lhs_holder,rhs_holder,x_set_a,x_set_b,n_probes,output_canon_vector,n_values,n_declines
A4_3_3,1,whole|whole,int32,int32,"whole/L1/9:-2^31,-42,-1,0,1,7,42,1000,2^31-1","whole/L1/9:-2^31,-42,-1,0,1,7,42,1000,2^31-1",81,"[1, 0.0, 0];[-1, 1.0, 1];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[-1, 1.0, 1];[-1, 1.0, 1];[-1, 1.265625, 9];[-1, 1.0, 0];[-1, 1.3125, 5];[1, 0.0, 0];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[-1, 1.3125, 5];[-1, 1.3125, 5];[-1, 1.0, 0];[-1, 1.0, 0];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[-1, 1.0, 0];[-1, 1.0, 0];[-1, 1.0, 0];[-1, 1.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.75, 2];[1, 1.75, 2];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 0.0, 0];[1, 1.75, 2];[1, 1.75, 2];[1, 1.75, 2];[1, 1.3125, 5];[1, 0.0, 0];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 1.3125, 5];[1, 1.3125, 5];[1, 1.953125, 9];[1, 1.0625, 5];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 1.5, 2];[1, 1.0625, 5];[1, 0.0, 0];[1, 1.953125, 9];[1, 1.999999999068677425384521484375, 30];[1, 1.0, 0];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.263671875, 9];[1, 0.0, 0]",72,9
A4_4_4,1,whole|whole,int64,int64,"whole/L1/16:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1","whole/L1/16:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1",256,"[1, 0.0, 0];[-1, 1.0, 0];[-1, 1.9999999999997728483691616929718, 52];[1, 0.0, 0];[-1, 1.0, 3];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[-1, 1.0, 0];[-1, 1.0, 3];[-1, 1.578125, 9];[-1, 1.0, 1];[1, 0.0, 0];[-1, 1.0, 10];[-1, 1.9999999999997728483691616929718, 52];[-1, 1.0, 0];[-1, 1.9999999999999999997831595655029, 62];[1, 0.0, 0];[-1, 1.9999999999997726263245567679405, 52];[-1, 1.999999999068677425384521484375, 30];[-1, 1.75, 2];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 0.0, 0];[-1, 1.75, 2];[-1, 1.576171875, 9];[-1, 1.0, 0];[-1, 1.999999999068677425384521484375, 30];[-1, 1.998046875, 9];[-1, 1.9999999999997726263245567679405, 52];[1, 0.0, 0];[-1, 1.0000000000000001110223024625157, 53];[-1, 1.0000000000000001110223024625157, 53];[1, 0.0, 0];[-1, 1.0, 0];[-1, 1.03125, 5];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[-1, 1.25, 2];[-1, 1.03125, 5];[-1, 1.939453125, 9];[-1, 1.0000002384185791015625, 22];[-1, 1.0, 0];[-1, 1.0, 1];[1, 0.0, 0];[-1, 1.0000000000000001110223024625157, 53];[-1, 1.0, 31];[-1, 1.0, 31];[-1, 1.0, 31];[1, 0.0, 0];[-1, 1.0, 1];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[-1, 1.0, 1];[-1, 1.0, 1];[-1, 1.265625, 9];[-1, 1.0, 0];[1, 0.0, 0];[-1, 1.0, 31];[-1, 1.0, 31];[-1, 1.0, 31];[-1, 1.3125, 5];[-1, 1.3125, 5];[-1, 1.3125, 5];[-1, 1.3125, 5];[1, 0.0, 0];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[-1, 1.3125, 5];[-1, 1.3125, 5];[-1, 1.3125, 5];[-1, 1.3125, 5];[-1, 1.3125, 5];[-1, 1.3125, 5];[-1, 1.0, 0];[-1, 1.0, 0];[-1, 1.0, 0];[-1, 1.0, 0];[-1, 1.0, 0];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[-1, 1.0, 0];[-1, 1.0, 0];[-1, 1.0, 0];[-1, 1.0, 0];[-1, 1.0, 0];[-1, 1.0, 0];[-1, 1.0, 0];[-1, 1.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.75, 2];[1, 1.75, 2];[1, 1.75, 2];[1, 1.75, 2];[1, 1.75, 2];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 0.0, 0];[1, 1.75, 2];[1, 1.75, 2];[1, 1.75, 2];[1, 1.75, 2];[1, 1.75, 2];[1, 1.75, 2];[1, 1.75, 2];[1, 1.3125, 5];[1, 1.3125, 5];[1, 1.3125, 5];[1, 1.3125, 5];[1, 0.0, 0];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 1.3125, 5];[1, 1.3125, 5];[1, 1.3125, 5];[1, 1.3125, 5];[1, 1.3125, 5];[1, 1.3125, 5];[1, 1.953125, 9];[1, 1.953125, 9];[1, 1.953125, 9];[1, 1.953125, 9];[1, 1.0625, 5];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 1.5, 2];[1, 1.0625, 5];[1, 0.0, 0];[1, 1.953125, 9];[1, 1.953125, 9];[1, 1.953125, 9];[1, 1.953125, 9];[1, 1.953125, 9];[1, 1.999999999068677425384521484375, 30];[1, 1.999999999068677425384521484375, 30];[1, 1.999999999068677425384521484375, 30];[1, 1.999999999068677425384521484375, 30];[1, 1.0, 0];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.263671875, 9];[1, 0.0, 0];[1, 1.999999999068677425384521484375, 30];[1, 1.999999999068677425384521484375, 30];[1, 1.999999999068677425384521484375, 30];[1, 1.999999999068677425384521484375, 30];[1, 1.0, 31];[1, 1.0, 31];[1, 1.0, 31];[1, 0.0, 0];[1, 1.0, 1];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 1.0, 1];[1, 1.0, 1];[1, 1.265625, 9];[1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 31];[1, 1.0, 31];[1, 1.0, 31];[1, 1.9999999999999997779553950749687, 52];[1, 1.9999999999999997779553950749687, 52];[1, 1.9999999999999997779553950749687, 52];[1, 1.999999999068677425384521484375, 30];[1, 1.9375, 4];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 1.5, 1];[1, 1.9375, 4];[1, 1.935546875, 9];[1, 1.999999523162841796875, 21];[1, 1.999999999068677425384521484375, 30];[1, 0.0, 0];[1, 1.9999999999999997779553950749687, 52];[1, 1.9999999999999997779553950749687, 52];[1, 1.0000000000000001110223024625157, 53];[1, 1.0000000000000001110223024625157, 53];[1, 0.0, 0];[1, 1.0, 0];[1, 1.03125, 5];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 1.25, 2];[1, 1.03125, 5];[1, 1.939453125, 9];[1, 1.0000002384185791015625, 22];[1, 1.0, 0];[1, 1.0, 1];[1, 0.0, 0];[1, 1.0000000000000001110223024625157, 53];[1, 1.9999999999999999997831595655029, 62];[1, 0.0, 0];[1, 1.9999999999997726263245567679405, 52];[1, 1.999999999068677425384521484375, 30];[1, 1.75, 2];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 0.0, 0];[1, 1.75, 2];[1, 1.576171875, 9];[1, 1.0, 0];[1, 1.999999999068677425384521484375, 30];[1, 1.998046875, 9];[1, 1.9999999999997726263245567679405, 52];[1, 0.0, 0]",240,16
A4_5_5,1,whole|whole,uint64,uint64,"whole/L1/11:0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1,2^64-1","whole/L1/11:0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1,2^64-1",121,"RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 0.0, 0];[1, 1.75, 2];[1, 1.75, 2];[1, 1.75, 2];[1, 1.75, 2];[1, 1.75, 2];[1, 1.75, 2];[1, 1.75, 2];[1, 1.75, 2];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 1.3125, 5];[1, 1.3125, 5];[1, 1.3125, 5];[1, 1.3125, 5];[1, 1.3125, 5];[1, 1.3125, 5];[1, 1.3125, 5];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 1.5, 2];[1, 1.0625, 5];[1, 0.0, 0];[1, 1.953125, 9];[1, 1.953125, 9];[1, 1.953125, 9];[1, 1.953125, 9];[1, 1.953125, 9];[1, 1.953125, 9];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.263671875, 9];[1, 0.0, 0];[1, 1.999999999068677425384521484375, 30];[1, 1.999999999068677425384521484375, 30];[1, 1.999999999068677425384521484375, 30];[1, 1.999999999068677425384521484375, 30];[1, 1.999999999068677425384521484375, 30];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 1.0, 1];[1, 1.0, 1];[1, 1.265625, 9];[1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 31];[1, 1.0, 31];[1, 1.0, 31];[1, 1.0, 31];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 1.5, 1];[1, 1.9375, 4];[1, 1.935546875, 9];[1, 1.999999523162841796875, 21];[1, 1.999999999068677425384521484375, 30];[1, 0.0, 0];[1, 1.9999999999999997779553950749687, 52];[1, 1.9999999999999997779553950749687, 52];[1, 1.9999999999999997779553950749687, 52];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 1.25, 2];[1, 1.03125, 5];[1, 1.939453125, 9];[1, 1.0000002384185791015625, 22];[1, 1.0, 0];[1, 1.0, 1];[1, 0.0, 0];[1, 1.0000000000000001110223024625157, 53];[1, 1.0000000000000001110223024625157, 53];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 0.0, 0];[1, 1.75, 2];[1, 1.576171875, 9];[1, 1.0, 0];[1, 1.999999999068677425384521484375, 30];[1, 1.998046875, 9];[1, 1.9999999999997726263245567679405, 52];[1, 0.0, 0];[1, 1.9999999999999999997831595655029, 62];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 1.0, 0];[1, 1.875, 3];[1, 1.201171875, 9];[1, 1.5, 1];[1, 1.999999999068677425384521484375, 30];[1, 1.9990234375, 10];[1, 1.999999999999545252649113535881, 52];[1, 1.0, 0];[1, 0.0, 0]",110,11
A4_6_6,1,whole|whole,int,int,"whole/L1/16:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1","whole/L1/16:-2^63,-2^63+1,-2^53-1,-2^31,-42,-1,0,1,7,42,1000,2^31-1,2^31,2^53-1,2^53+1,2^63-1",256,"[1, 0.0, 0];[-1, 1.0, 0];[-1, 1.9999999999997728483691616929718, 52];[1, 0.0, 0];[-1, 1.0, 3];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[-1, 1.0, 0];[-1, 1.0, 3];[-1, 1.578125, 9];[-1, 1.0, 1];[1, 0.0, 0];[-1, 1.0, 10];[-1, 1.9999999999997728483691616929718, 52];[-1, 1.0, 0];[-1, 1.9999999999999999997831595655029, 62];[1, 0.0, 0];[-1, 1.9999999999997726263245567679405, 52];[-1, 1.999999999068677425384521484375, 30];[-1, 1.75, 2];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 0.0, 0];[-1, 1.75, 2];[-1, 1.576171875, 9];[-1, 1.0, 0];[-1, 1.999999999068677425384521484375, 30];[-1, 1.998046875, 9];[-1, 1.9999999999997726263245567679405, 52];[1, 0.0, 0];[-1, 1.0000000000000001110223024625157, 53];[-1, 1.0000000000000001110223024625157, 53];[1, 0.0, 0];[-1, 1.0, 0];[-1, 1.03125, 5];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[-1, 1.25, 2];[-1, 1.03125, 5];[-1, 1.939453125, 9];[-1, 1.0000002384185791015625, 22];[-1, 1.0, 0];[-1, 1.0, 1];[1, 0.0, 0];[-1, 1.0000000000000001110223024625157, 53];[-1, 1.0, 31];[-1, 1.0, 31];[-1, 1.0, 31];[1, 0.0, 0];[-1, 1.0, 1];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[-1, 1.0, 1];[-1, 1.0, 1];[-1, 1.265625, 9];[-1, 1.0, 0];[1, 0.0, 0];[-1, 1.0, 31];[-1, 1.0, 31];[-1, 1.0, 31];[-1, 1.3125, 5];[-1, 1.3125, 5];[-1, 1.3125, 5];[-1, 1.3125, 5];[1, 0.0, 0];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[-1, 1.3125, 5];[-1, 1.3125, 5];[-1, 1.3125, 5];[-1, 1.3125, 5];[-1, 1.3125, 5];[-1, 1.3125, 5];[-1, 1.0, 0];[-1, 1.0, 0];[-1, 1.0, 0];[-1, 1.0, 0];[-1, 1.0, 0];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[-1, 1.0, 0];[-1, 1.0, 0];[-1, 1.0, 0];[-1, 1.0, 0];[-1, 1.0, 0];[-1, 1.0, 0];[-1, 1.0, 0];[-1, 1.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.75, 2];[1, 1.75, 2];[1, 1.75, 2];[1, 1.75, 2];[1, 1.75, 2];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 0.0, 0];[1, 1.75, 2];[1, 1.75, 2];[1, 1.75, 2];[1, 1.75, 2];[1, 1.75, 2];[1, 1.75, 2];[1, 1.75, 2];[1, 1.3125, 5];[1, 1.3125, 5];[1, 1.3125, 5];[1, 1.3125, 5];[1, 0.0, 0];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 0.0, 0];[1, 0.0, 0];[1, 1.3125, 5];[1, 1.3125, 5];[1, 1.3125, 5];[1, 1.3125, 5];[1, 1.3125, 5];[1, 1.3125, 5];[1, 1.953125, 9];[1, 1.953125, 9];[1, 1.953125, 9];[1, 1.953125, 9];[1, 1.0625, 5];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 1.5, 2];[1, 1.0625, 5];[1, 0.0, 0];[1, 1.953125, 9];[1, 1.953125, 9];[1, 1.953125, 9];[1, 1.953125, 9];[1, 1.953125, 9];[1, 1.999999999068677425384521484375, 30];[1, 1.999999999068677425384521484375, 30];[1, 1.999999999068677425384521484375, 30];[1, 1.999999999068677425384521484375, 30];[1, 1.0, 0];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 1.0, 0];[1, 1.0, 0];[1, 1.263671875, 9];[1, 0.0, 0];[1, 1.999999999068677425384521484375, 30];[1, 1.999999999068677425384521484375, 30];[1, 1.999999999068677425384521484375, 30];[1, 1.999999999068677425384521484375, 30];[1, 1.0, 31];[1, 1.0, 31];[1, 1.0, 31];[1, 0.0, 0];[1, 1.0, 1];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 1.0, 1];[1, 1.0, 1];[1, 1.265625, 9];[1, 1.0, 0];[1, 0.0, 0];[1, 1.0, 31];[1, 1.0, 31];[1, 1.0, 31];[1, 1.9999999999999997779553950749687, 52];[1, 1.9999999999999997779553950749687, 52];[1, 1.9999999999999997779553950749687, 52];[1, 1.999999999068677425384521484375, 30];[1, 1.9375, 4];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 1.5, 1];[1, 1.9375, 4];[1, 1.935546875, 9];[1, 1.999999523162841796875, 21];[1, 1.999999999068677425384521484375, 30];[1, 0.0, 0];[1, 1.9999999999999997779553950749687, 52];[1, 1.9999999999999997779553950749687, 52];[1, 1.0000000000000001110223024625157, 53];[1, 1.0000000000000001110223024625157, 53];[1, 0.0, 0];[1, 1.0, 0];[1, 1.03125, 5];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 1.25, 2];[1, 1.03125, 5];[1, 1.939453125, 9];[1, 1.0000002384185791015625, 22];[1, 1.0, 0];[1, 1.0, 1];[1, 0.0, 0];[1, 1.0000000000000001110223024625157, 53];[1, 1.9999999999999999997831595655029, 62];[1, 0.0, 0];[1, 1.9999999999997726263245567679405, 52];[1, 1.999999999068677425384521484375, 30];[1, 1.75, 2];[1, 0.0, 0];RAISE:IntegerDivideByZero;[1, 0.0, 0];[1, 0.0, 0];[1, 1.75, 2];[1, 1.576171875, 9];[1, 1.0, 0];[1, 1.999999999068677425384521484375, 30];[1, 1.998046875, 9];[1, 1.9999999999997726263245567679405, 52];[1, 0.0, 0]",240,16
