p1|refuse|1|2207901933|-1|0
p2|refuse|1|2207822946|-1|0
p3|refuse|1|2207891585|-1|0
p4|refuse|1|2206756169|-1|0
p5|refuse|1|2209224537|-1|0
p6|accept|0|2509719976|0|108864099
p7|accept|0|2509337532|0|107682970
p8|refuse|1|2208738719|-1|0
p9|accept|0|2610046670|0|108354151
p10|accept|0|2609083946|0|106195236
p11|accept|0|2608492416|0|107657900
p12|refuse|1|2208988606|-1|0
p13|accept|0|2509490902|0|107444491
p14|accept|0|2509606041|0|107551686
p15|accept|0|2608960611|0|107013647
p16|refuse|0|2708962764|0|106050211
p17|accept|0|2610158627|0|107037700
p18|accept|0|2508178042|0|107440818
p19|accept|0|2609019832|0|107701559
p20|accept|0|2609933700|0|107676616
p21|refuse|0|2708205701|0|106792360
p22|accept|0|2709257029|0|106345760
p23|refuse|1|2308223338|-1|0
p24|accept|0|2608057809|0|106447499
p25|accept|0|2608967252|0|107160104
p26|accept|0|2608151304|0|206424232
p27|refuse|1|2207294447|-1|0
p28|refuse|1|2308131355|-1|0
p29|accept|0|2508656760|0|105341033
p30|accept|0|2707186585|0|207604848
p31|refuse|1|2310019015|-1|0
p32|accept|0|2809849865|0|107636743
p33|accept|0|2608884800|0|107420403
p34|refuse|0|2708535008|0|107452816
p35|accept|0|2609630021|0|107733345
p36|refuse|1|2209144319|-1|0
p37|accept|0|2510276560|0|107515055
p38|refuse|1|2309130896|-1|0
p39|refuse|1|2208994079|-1|0
p40|accept|0|2609211470|0|106703108
p41|accept|0|2509715085|0|107401278
p42|accept|0|2609098067|0|107116379
p43|refuse|1|2208185343|-1|0
p44|refuse|1|2206712477|-1|0
p45|refuse|1|2307847377|-1|0
p46|accept|0|2508101652|0|107747712
p47|accept|0|2509183249|0|107778814
p48|refuse|1|2208580255|-1|0
p49|accept|0|2508209742|0|106550234
p50|refuse|1|2208448641|-1|0
p51|refuse|0|2609283755|0|106586980
p52|accept|0|2508476852|0|107500691
p53|accept|0|2607968197|0|106559267
p54|refuse|1|2209126121|-1|0
p55|refuse|1|2208100338|-1|0
p56|refuse|1|2306833062|-1|0
p57|refuse|0|2608946093|0|107448501
p58|accept|0|2508536509|0|107207164
p59|refuse|0|2609242260|0|106650137
p60|refuse|0|2607418393|0|107710691
p61|refuse|1|2208519548|-1|0
p62|accept|0|2507401854|0|107430174
p63|accept|0|2710792266|0|107186162
p64|accept|0|2608063743|0|106438358
p65|refuse|1|2208621562|-1|0
p66|refuse|1|2308075724|-1|0
p67|accept|0|2609235945|0|107223104
p68|refuse|1|2207708228|-1|0
p69|refuse|1|2208356509|-1|0
p70|accept|0|2609436464|0|107752121
p71|refuse|1|2209240481|-1|0
p72|refuse|1|2208577480|-1|0
p73|accept|0|2610384207|0|107745458
p74|accept|0|2710409954|0|107582296
p75|accept|0|2508263491|0|107115418
p76|accept|0|2509457821|0|105898977
p77|accept|0|2508956040|0|107646296
p78|refuse|0|2708054035|0|106812541
p79|accept|0|2607712742|0|106828054
p80|accept|0|2608980154|0|106885283
p81|refuse|1|2307318013|-1|0
p82|accept|0|2608934686|0|107342354
p83|accept|0|2509706234|0|106526062
p84|refuse|1|2309291278|-1|0
p85|refuse|1|2208238681|-1|0
p86|refuse|1|2208900975|-1|0
p87|refuse|1|2209228370|-1|0
p88|refuse|0|2608293269|0|105716613
p89|accept|0|2708827586|0|106899236
p90|refuse|1|2309487083|-1|0
p91|refuse|1|2208288926|-1|0
p92|refuse|1|2208826343|-1|0
p93|refuse|1|2209238103|-1|0
p94|accept|0|2609209490|0|105468756
p95|refuse|1|2307975112|-1|0
p96|accept|0|2508698797|0|107511209
p97|accept|0|2508863271|0|106511854
p98|refuse|1|2208565427|-1|0
p99|accept|0|2509415129|0|107125586
p100|refuse|0|2609104355|0|107347173
__BATCH100__|accept|0|3710192854|0|106992304
