Kaccess.slice_7|-|REFUSE:error[E0608]: cannot index into a value of type `f64`    --> /work/kx_rust/src/p00029.rs:150:18     | 150 |     let _r = &(a)[(b)..(c)];     |                  ^^^^^^^^^^  error: aborting due to 1 pre
Kaccess.slice_8|-|REFUSE:error[E0608]: cannot index into a value of type `f32`    --> /work/kx_rust/src/p00030.rs:150:18     | 150 |     let _r = &(a)[(b)..(c)];     |                  ^^^^^^^^^^  error: aborting due to 1 pre
Kaccess.slice_9|-|REFUSE:error[E0277]: the type `str` cannot be indexed by `std::ops::Range<i32>`    --> /work/kx_rust/src/p00031.rs:150:19     | 150 |     let _r = &(a)[(b)..(c)];     |                   ^^^^^^^^ string indi
Kaccess.slice_10|-|REFUSE:error[E0277]: the type `str` cannot be indexed by `std::ops::Range<i32>`    --> /work/kx_rust/src/p00032.rs:150:19     | 150 |     let _r = &(a)[(b)..(c)];     |                   ^^^^^^^^ string indi
Kaccess.slice_11|-|REFUSE:error[E0277]: the type `[u8]` cannot be indexed by `std::ops::Range<i32>`    --> /work/kx_rust/src/p00033.rs:150:19     | 150 |     let _r = &(a)[(b)..(c)];     |                   ^^^^^^^^ slice indi
Kaccess.slice_12|-|REFUSE:error[E0277]: the type `[i64]` cannot be indexed by `std::ops::Range<i32>`    --> /work/kx_rust/src/p00034.rs:150:19     | 150 |     let _r = &(a)[(b)..(c)];     |                   ^^^^^^^^ slice ind
Kaccess.slice_13|-|REFUSE:error[E0277]: the type `[i64]` cannot be indexed by `std::ops::Range<i32>`    --> /work/kx_rust/src/p00035.rs:150:19     | 150 |     let _r = &(a)[(b)..(c)];     |                   ^^^^^^^^ slice ind
Kaccess.slice_14|-|REFUSE:error[E0277]: the type `[i64]` cannot be indexed by `std::ops::Range<i32>`    --> /work/kx_rust/src/p00036.rs:150:19     | 150 |     let _r = &(a)[(b)..(c)];     |                   ^^^^^^^^ slice ind
Kaccess.slice_15|-|REFUSE:error[E0308]: mismatched types    --> /work/kx_rust/src/p00037.rs:150:19     | 150 |     let _r = &(a)[(b)..(c)];     |                   ^^^^^^^^ expected `usize`, found `Range<i32>`     |     = note
Kaccess.slice_16|-|REFUSE:error[E0608]: cannot index into a value of type `(i64, i64, i64)`    --> /work/kx_rust/src/p00038.rs:150:18     | 150 |     let _r = &(a)[(b)..(c)];     |                  ^^^^^^^^^^     |     = help:
Kaccess.slice_17|-|REFUSE:error[E0308]: mismatched types    --> /work/kx_rust/src/p00039.rs:150:19     | 150 |     let _r = &(a)[(b)..(c)];     |                   ^^^^^^^^ expected `&_`, found `Range<i32>`     |     = note: e
Kaccess.slice_18|-|REFUSE:error[E0308]: mismatched types    --> /work/kx_rust/src/p00040.rs:150:19     | 150 |     let _r = &(a)[(b)..(c)];     |                   ^^^^^^^^ expected `&_`, found `Range<i32>`     |     = note: e
