probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P1_4_0_0_0,std::nullptr_t,null,null,null,int32_t,base_42,0000002a,"[1, 1.3125, 5]",false,false
P1_4_0_1_0,std::nullptr_t,null,null,null,int32_t,base_zero,00000000,"[1, 0.0, 0]",false,false
P1_4_0_2_0,std::nullptr_t,null,null,null,int32_t,i64max,ffffffff,"[-1, 1.0, 0]",false,false
P1_4_0_3_0,std::nullptr_t,null,null,null,int32_t,i64max_plus1,00000000,"[1, 0.0, 0]",false,false
P1_4_0_4_0,std::nullptr_t,null,null,null,int32_t,p53_plus1,00000001,"[1, 1.0, 0]",false,false
P1_4_0_5_0,std::nullptr_t,null,null,null,int32_t,u64max,ffffffff,"[-1, 1.0, 0]",false,false
P1_5_0_0_0,std::nullptr_t,null,null,null,int64_t,base_42,000000000000002a,"[1, 1.3125, 5]",false,false
P1_5_0_1_0,std::nullptr_t,null,null,null,int64_t,base_zero,0000000000000000,"[1, 0.0, 0]",false,false
P1_5_0_2_0,std::nullptr_t,null,null,null,int64_t,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",false,false
P1_5_0_3_0,std::nullptr_t,null,null,null,int64_t,i64max_plus1,8000000000000000,"[-1, 1.0, 63]",false,false
P1_5_0_4_0,std::nullptr_t,null,null,null,int64_t,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",false,false
P1_5_0_5_0,std::nullptr_t,null,null,null,int64_t,u64max,ffffffffffffffff,"[-1, 1.0, 0]",false,false
P1_6_0_0_0,std::nullptr_t,null,null,null,uint64_t,base_42,000000000000002a,"[1, 1.3125, 5]",false,false
P1_6_0_1_0,std::nullptr_t,null,null,null,uint64_t,base_zero,0000000000000000,"[1, 0.0, 0]",false,false
P1_6_0_2_0,std::nullptr_t,null,null,null,uint64_t,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",false,false
P1_6_0_3_0,std::nullptr_t,null,null,null,uint64_t,i64max_plus1,8000000000000000,"[1, 1.0, 63]",false,false
P1_6_0_4_0,std::nullptr_t,null,null,null,uint64_t,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",false,false
P1_6_0_5_0,std::nullptr_t,null,null,null,uint64_t,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",false,false
P1_7_0_0_0,std::nullptr_t,null,null,null,__int128,base_42,0000000000000000000000000000002a,"[1, 1.3125, 5]",false,false
P1_7_0_1_0,std::nullptr_t,null,null,null,__int128,base_zero,00000000000000000000000000000000,"[1, 0.0, 0]",false,false
P1_7_0_2_0,std::nullptr_t,null,null,null,__int128,i64max,00000000000000007fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",false,false
P1_7_0_3_0,std::nullptr_t,null,null,null,__int128,i64max_plus1,00000000000000008000000000000000,"[1, 1.0, 63]",false,false
P1_7_0_4_0,std::nullptr_t,null,null,null,__int128,p53_plus1,00000000000000000020000000000001,"[1, 1.0000000000000001110223024625157, 53]",false,false
P1_7_0_5_0,std::nullptr_t,null,null,null,__int128,u64max,0000000000000000ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",false,false
P1_8_0_0_0,std::nullptr_t,null,null,null,double,base_1_5,3ff8000000000000,"[1, 1.5, 0]",false,false
P1_8_0_1_0,std::nullptr_t,null,null,null,double,base_pi,400921fb54442d18,"[1, 1.5707963267948965579989817342721, 1]",false,false
P1_8_0_2_0,std::nullptr_t,null,null,null,double,inf,7ff0000000000000,"[1, inf]",false,false
P1_8_0_3_0,std::nullptr_t,null,null,null,double,nan,7ff8000000000000,nan,false,false
P1_8_0_4_0,std::nullptr_t,null,null,null,double,negzero,8000000000000000,"[-1, 0.0, 0]",false,false
P1_8_0_5_0,std::nullptr_t,null,null,null,double,point1,3fb999999999999a,"[1, 1.6000000000000000888178419700125, -4]",false,false
P1_9_0_0_0,std::nullptr_t,null,null,null,float,base_1_5,3fc00000,"[1, 1.5, 0]",false,false
P1_9_0_1_0,std::nullptr_t,null,null,null,float,base_pi,40490fdb,"[1, 1.57079637050628662109375, 1]",false,false
P1_9_0_2_0,std::nullptr_t,null,null,null,float,inf,7f800000,"[1, inf]",false,false
P1_9_0_3_0,std::nullptr_t,null,null,null,float,nan,7fc00000,nan,false,false
