probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P4_4_4_0_18,i64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",i64,base_42,000000000000002a,"[1, 1.3125, 5]","64:0020000000000001,INT:64:000000000000002a,excl]","opaque:RANGE[INT:64:0020000000000001,INT:64:000000000000002a,excl]"
P4_4_4_1_18,i64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",i64,base_zero,0000000000000000,"[1, 0.0, 0]","64:0020000000000001,INT:64:0000000000000000,excl]","opaque:RANGE[INT:64:0020000000000001,INT:64:0000000000000000,excl]"
P4_4_4_2_18,i64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",i64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]","64:0020000000000001,INT:64:7fffffffffffffff,excl]","opaque:RANGE[INT:64:0020000000000001,INT:64:7fffffffffffffff,excl]"
P4_4_4_4_18,i64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",i64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]","64:0020000000000001,INT:64:0020000000000001,excl]","opaque:RANGE[INT:64:0020000000000001,INT:64:0020000000000001,excl]"
P5_5_0_0_18,u64,base_42,000000000000002a,"[1, 1.3125, 5]",u64,base_42,000000000000002a,"[1, 1.3125, 5]","64:000000000000002a,UINT:64:000000000000002a,excl]","opaque:RANGE[UINT:64:000000000000002a,UINT:64:000000000000002a,excl"
P5_5_0_1_18,u64,base_42,000000000000002a,"[1, 1.3125, 5]",u64,base_zero,0000000000000000,"[1, 0.0, 0]","64:000000000000002a,UINT:64:0000000000000000,excl]","opaque:RANGE[UINT:64:000000000000002a,UINT:64:0000000000000000,excl"
P5_5_0_2_18,u64,base_42,000000000000002a,"[1, 1.3125, 5]",u64,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]","64:000000000000002a,UINT:64:7fffffffffffffff,excl]","opaque:RANGE[UINT:64:000000000000002a,UINT:64:7fffffffffffffff,excl"
P5_5_0_3_18,u64,base_42,000000000000002a,"[1, 1.3125, 5]",u64,i64max_plus1,8000000000000000,"[1, 1.0, 63]","64:000000000000002a,UINT:64:8000000000000000,excl]","opaque:RANGE[UINT:64:000000000000002a,UINT:64:8000000000000000,excl"
P5_5_0_4_18,u64,base_42,000000000000002a,"[1, 1.3125, 5]",u64,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]","64:000000000000002a,UINT:64:0020000000000001,excl]","opaque:RANGE[UINT:64:000000000000002a,UINT:64:0020000000000001,excl"
P5_5_0_5_18,u64,base_42,000000000000002a,"[1, 1.3125, 5]",u64,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]","64:000000000000002a,UINT:64:ffffffffffffffff,excl]","opaque:RANGE[UINT:64:000000000000002a,UINT:64:ffffffffffffffff,excl"
