probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P0_0_null_null_and,NoneType,null,null,null,NoneType,null,null,null,None,null
P0_1_null_false_and,NoneType,null,null,null,bool,false,false,false,None,null
P0_1_null_true_and,NoneType,null,null,null,bool,true,true,true,None,null
P0_2_null_base_42_and,NoneType,null,null,null,int,base_42,2a,"[1, 1.3125, 5]",None,null
P0_2_null_base_zero_and,NoneType,null,null,null,int,base_zero,0,"[1, 0.0, 0]",None,null
P0_2_null_i64max_and,NoneType,null,null,null,int,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",None,null
P0_2_null_i64max_plus1_and,NoneType,null,null,null,int,i64max_plus1,8000000000000000,"[1, 1.0, 63]",None,null
P0_2_null_p53_plus1_and,NoneType,null,null,null,int,p53_plus1,20000000000001,"[1, 1.0000000000000001110223024625157, 53]",None,null
P0_2_null_u64max_and,NoneType,null,null,null,int,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",None,null
P0_3_null_base_42_and,NoneType,null,null,null,decimal.Decimal,base_42,2a,"[1, 1.3125, 5]",None,null
P0_3_null_base_zero_and,NoneType,null,null,null,decimal.Decimal,base_zero,0,"[1, 0.0, 0]",None,null
P0_3_null_i64max_and,NoneType,null,null,null,decimal.Decimal,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",None,null
P0_3_null_i64max_plus1_and,NoneType,null,null,null,decimal.Decimal,i64max_plus1,8000000000000000,"[1, 1.0, 63]",None,null
P0_3_null_p53_plus1_and,NoneType,null,null,null,decimal.Decimal,p53_plus1,20000000000001,"[1, 1.0000000000000001110223024625157, 53]",None,null
P0_3_null_u64max_and,NoneType,null,null,null,decimal.Decimal,u64max,ffffffffffffffff,"[1, 1.9999999999999999998915797827514, 63]",None,null
P0_4_null_base_42_and,NoneType,null,null,null,fractions.Fraction,base_42,2a,"[1, 1.3125, 5]",None,null
P0_4_null_base_zero_and,NoneType,null,null,null,fractions.Fraction,base_zero,0,"[1, 0.0, 0]",None,null
P0_4_null_i64max_and,NoneType,null,null,null,fractions.Fraction,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",None,null
P0_4_null_i64max_plus1_and,NoneType,null,null,null,fractions.Fraction,i64max_plus1,8000000000000000,"[1, 1.0, 63]",None,null
